"strategy_id","primary_id","Edgar_Class","CSC.Sector","CSC.Subsector","value","Year","Gas","design_id","future_id","strategy","Code","Contry","source"
NA,NA,"EN - Manufacturing/Construction:CO2","Energy","EN - Manufacturing/Construction",0.696560862,2004,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Manufacturing/Construction:N2O","Energy","EN - Manufacturing/Construction",0.00202306,2004,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Transportation:CH4","Energy","EN - Transportation",0.013988518,2004,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Transportation:CO2","Energy","EN - Transportation",1.159159212,2004,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Transportation:N2O","Energy","EN - Transportation",0.028596322,2004,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"IN - Industrial Processes:CO2","Industrial Processes","IN - Industrial Processes",0.067392986,2004,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"IN - Industrial Processes:N2O","Industrial Processes","IN - Industrial Processes",0.078358041,2004,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"LULUCF - Deforestation:CO2","Land Use, Land Use Change, and Forestry","LULUCF - Deforestation",0,2004,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"LULUCF - Forest Land:CO2","Land Use, Land Use Change, and Forestry","LULUCF - Forest Land",-25.59034,2004,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"LULUCF - Organic Soil:CO2","Land Use, Land Use Change, and Forestry","LULUCF - Organic Soil",0,2004,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"LULUCF - Other Land:CO2","Land Use, Land Use Change, and Forestry","LULUCF - Other Land",0,2004,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"Waste - Solid Waste:CH4","Waste","Waste - Solid Waste",0.209276206,2004,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"Waste - Solid Waste:CO2","Waste","Waste - Solid Waste",0.000680697,2004,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"Waste - Solid Waste:N2O","Waste","Waste - Solid Waste",8.04898e-05,2004,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"Waste - Wastewater Treatment:CH4","Waste","Waste - Wastewater Treatment",0.356296314,2004,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"Waste - Wastewater Treatment:N2O","Waste","Waste - Wastewater Treatment",0.030485674,2004,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"AG - Crops:CH4","Agriculture","AG - Crops",0.001375767,2005,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"AG - Crops:N2O","Agriculture","AG - Crops",2.772812932,2005,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"AG - Livestock:CH4","Agriculture","AG - Livestock",7.905633932,2005,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"AG - Livestock:N2O","Agriculture","AG - Livestock",0.204284195,2005,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Building:CH4","Energy","EN - Building",0.322156949,2005,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Building:CO2","Energy","EN - Building",1.549312031,2005,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Building:N2O","Energy","EN - Building",0.017311033,2005,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Electricity/Heat:CH4","Energy","EN - Electricity/Heat",0.002096245,2005,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Electricity/Heat:CO2","Energy","EN - Electricity/Heat",7.65856534,2005,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Electricity/Heat:N2O","Energy","EN - Electricity/Heat",0.028397184,2005,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Fugitive Emissions:CH4","Energy","EN - Fugitive Emissions",1.976090214,2005,"CH4",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Fugitive Emissions:CO2","Energy","EN - Fugitive Emissions",0.03614271,2005,"CO2",NA,NA,"Historical","MNG","mongolia","EDGAR"
NA,NA,"EN - Fugitive Emissions:N2O","Energy","EN - Fugitive Emissions",0.000960416,2005,"N2O",NA,NA,"Historical","MNG","mongolia","EDGAR"
